id,title,relaxed,excited,loneliness,depression,annoyance,regret,unfairness,fear,stress,worry
249,피터팬 (Peter Pan),20.03,21.47,4.14,2.3,11.75,10.07,3.21,3.18,6.28,5.57
250,CALL ME BABY,4.79,20.61,10.34,2.63,2.82,8.92,1.86,19.62,19.66,8.75
251,PLAYBOY,21.29,16.5,1.2,5.37,1.68,21.31,5.29,5.51,3.06,18.79
252,Ko Ko Bop,21.09,13.07,3.03,4.45,18.87,11.67,7,9.12,10.69,1
253,12월의 기적 (Miracles In December),13.6,1.85,3.83,1.36,11.41,8.9,17.76,3.22,18.52,19.55
254,Christmas Day,26.63,7.06,8.58,9.53,10.19,17.82,4.18,6.85,3.17,5.98
255,첫 눈,8.38,21.59,7.4,14.1,2.87,24.19,6.11,4.29,5.74,5.32
256,중독 (Overdose),4.51,19.46,4.16,6.21,4.4,22.87,10.6,3.41,22.83,1.54
257,Chu~♡,13.91,21.21,1.36,10.86,7.07,0.69,20.29,13.14,1.97,9.49
258,Hot Summer,3.5,14.81,1.9,3.84,21.08,4.42,6.85,12.81,25.37,5.44
259,첫 사랑니 (Rum Pum Pum Pum),1.85,16.21,9,2.08,22.53,16.43,1.94,7.71,20.18,2.07
260,미행 (그림자: Shadow),22.57,19.52,16.62,5.52,2.69,10.55,5.21,4.4,2.68,10.24
261,Goodbye Summer (Feat. D.O. Of EXO),5.72,7.1,10.79,13.43,6.71,24.97,20.47,3.26,5.41,2.16
262,Airplane,7.55,16.77,9.87,11.12,5.97,4.61,5.11,24.31,4.06,10.65
263,피노키오 (Danger),9.43,19.49,3.87,4.84,10.12,4.86,17.29,10.11,16.72,3.26
264,All Mine,18.7,23.14,0.61,5.96,2.74,10.93,16.64,5.14,5.18,10.97
265,MILK,4.03,22.52,5.66,3.63,21.34,5.97,2.49,9.24,23.46,1.67
266,All Night,24.68,20.26,8.08,8.93,1.98,6.07,7.5,6.02,13.07,3.41
267,라차타 (LA chA TA),9.17,26.78,6.13,7.48,7.39,18.93,2.93,7.89,5.79,7.51
268,"Umbrella (Feat. 효린 Of 씨스타, Gill Chang)",12.85,21.15,1.68,5.21,9.68,2.8,1.98,21.37,6.42,16.88
