id,title,tempo,zero_crossing_rating,pitch,loudness,length
1364,연애소설 (Feat. 아이유),184.5703125,29709,455.4442331,5210232,455.4442331
1365,빈차 (Feat. 오혁),184.5703125,15264,455.7063942,6416376,455.7063942
1366,상실의 순기능 (Feat. 수현),132.5120192,14392,396.3263008,4631352,396.3263008
1367,옥탑방,97.50884434,25441,729.5593002,4645176,729.5593002
1368,유리구슬 (Glass Bead),114.84375,13875,737.7343021,4487040,737.7343021
1369,오늘부터 우리는 (Me Gustas Tu),139.6748311,19710,686.3867192,4867776,686.3867192
1370,시간을 달려서 (Rough),56.17357337,22958,682.6299681,4610616,682.6299681
1371,너 그리고 나 (NAVILLERA),83.35433468,46682,755.8109927,4268472,755.8109927
1372,귀를 기울이면 (LOVE WHISPER),151.9990809,17283,606.3449782,4673976,606.3449782
1373,마법소녀,135.9991776,51336,877.9283487,4157016,877.9283487
1374,까탈레나 (Catallena),126.0480183,36332,890.8336937,4259520,890.8336937
1375,방콕시티 (Bangkok City),132.5120192,36826,697.6873295,3722112,697.6873295
1376,샹하이 로맨스,143.5546875,25626,755.0494495,4989312,755.0494495
1377,아잉♡,112.3471467,19345,731.9572662,4599936,731.9572662
1378,CLOSER,206.71875,22412,601.7493285,4574016,601.7493285
1379,Dolphin,114.84375,41739,580.2057386,3897528,580.2057386
1380,불꽃놀이 (Remember Me),129.1992188,26641,610.9745107,4290936,610.9745107
1381,다섯 번째 계절 (SSFWL),126.0480183,35120,670.159073,5300664,670.159073
1382,Destiny (나의 지구),139.6748311,42271,607.1655647,5067384,607.1655647
1383,BUNGEE (Fall in Love),129.1992188,35988,769.2758338,3910776,769.2758338
1384,Heart Sign (Prod. Flow Blow),123.046875,23197,661.955958,4755768,661.955958
1385,대충 입고 나와,191.40625,16844,435.4498485,4537464,435.4498485
1386,이 노래가 클럽에서 나온다면,86.1328125,14442,372.1235722,4830072,372.1235722
1387,이루리,112.3471467,46262,786.0676675,4314552,786.0676675
1388,너에게 닿기를 (I Wish),112.3471467,37191,698.9668069,4808760,698.9668069
1389,Boogie Up,129.1992188,38584,773.9631143,4052472,773.9631143
1390,비밀이야 (Secret),112.3471467,52734,663.3131201,4907832,663.3131201
1391,UNNATURAL,123.046875,21949,751.2628293,3993402,751.2628293
1392,2 Different Tears,99.38401442,21283,504.3827886,4500312,504.3827886
1393,I Feel You,95.703125,50181,674.369318,4528512,674.369318
1394,So Hot,139.6748311,39682,711.402555,3997464,711.402555
1395,Tell me (Rap Ver.),84.72079918,51661,671.9832376,4788888,671.9832376
1396,Irony (아이러니),107.6660156,47970,575.3319186,5396958,575.3319186
1397,Why So Lonely,77.13386194,34512,623.1737154,4557624,623.1737154
1398,Girlfriend,147.65625,23318,460.3451838,5309568,460.3451838
1399,Be My Baby,82.03125,35572,618.4663588,4671936,618.4663588
1400,밤이 되니까,84.72079918,6586,400.8592546,4497531,400.8592546
1401,적외선 카메라,89.10290948,10137,640.5339138,4542285,640.5339138
1402,"세상에 나쁜 개는 없다 (Feat. YDG, Zion.T) (Prod. Slom)",172.265625,5270,450.5266791,4975934,450.5266791
1403,모르겠다고 (Q) (Feat. 화사),139.6748311,26903,477.0200362,4645752,477.0200362
1404,Be OK (Feat. 배치기),117.4538352,20107,720.8424843,4224960,720.8424843
1405,내가 니편이 되어줄게,41.67716734,10602,444.1704692,4913016,444.1704692
1406,숲의 아이 (Bon voyage),161.4990234,27711,657.9113722,4841592,657.9113722
1407,보일 듯 말 듯,99.38401442,41665,487.8525363,4100856,487.8525363
1408,시간이 흐른 뒤 (As Time Goes By),198.7680288,48376,515.4064202,5925888,515.4064202
1409,하루하루,132.5120192,25461,674.6771588,5733504,674.6771588
1410,"1, 2, 3 (원투쓰리)",103.359375,35798,614.6447988,4602840,614.6447988
1411,우리가 헤어진 진짜 이유,107.6660156,27898,593.6362314,6935040,593.6362314
1412,봄은 있었다,71.77734375,12449,438.2954827,7909632,438.2954827
1413,One Fine Day,97.50884434,33100,866.4575221,4583808,866.4575221
1414,Subsonic,135.9991776,22674,600.9924435,7206912,600.9924435
1415,없어 (Feat. 이루펀트),161.4990234,17806,464.2430851,4609152,464.2430851
1416,People,123.046875,53375,655.4952735,4304448,655.4952735
1417,널 생각해 (Prod. by 이찬혁 of AKMU (악동뮤지션)),132.5120192,19124,460.5719844,5390784,460.5719844
1418,아니야,184.5703125,23310,582.5113207,6592320,582.5113207
1419,없어 (Studio Live Ver.),123.046875,38360,454.3570307,4126464,454.3570307
1420,괜찮다 (Studio Live Ver.),95.703125,26165,514.0729576,6484032,514.0729576
1421,Parade,184.5703125,5733,579.9129775,4274232,579.9129775
1422,답을 찾지 못한 날,129.1992188,12624,402.6701145,5155512,402.6701145
1423,느린 우체통,97.50884434,8855,477.8612133,5542872,477.8612133
1424,종이비행기 (Hello) (Feat. pH-1),103.359375,15988,505.1983575,4417080,505.1983575
1425,언제쯤이면 (Duet.아이유),147.65625,38898,542.7158978,5700672,542.7158978
1426,사랑이 힘들어 멈추는 곳에,151.9990809,21227,402.3266925,4592448,402.3266925
1427,시월에 : 스물 일곱 번째 밤,99.38401442,19378,462.3736944,5821632,462.3736944
1428,오늘밤,83.35433468,37319,536.6299693,4682304,536.6299693
1429,눈이 오잖아 (Feat. 헤이즈 (Heize)),49.21875,14793,464.546787,5116188,464.546787
1430,신호등,97.50884434,22269,555.9151422,5106486,555.9151422
1431,희미해서 (Feat. 헤이즈 (Heize)),105.46875,40529,445.220879,5502264,445.220879
1432,야몽음인,72.78829225,17774,646.8388053,5446392,646.8388053
1433,오묘한 맛 (Taste),40.69266732,6180,483.4349209,4285752,483.4349209
1434,수채화,60.09265988,12196,580.9169159,5135928,580.9169159
1435,Empty Room,178.205819,11192,494.6370878,4731576,494.6370878
1436,Love Drug,107.6660156,12659,388.8189441,3591210,388.8189441
1437,Drug,99.38401442,41315,711.838548,4654392,711.838548
1438,"1,2,3,4,5",139.6748311,23997,603.3342736,3808824,603.3342736
1439,그녀의 밤,139.6748311,13232,567.0958363,5751672,567.0958363
1440,배경음악,139.6748311,11682,442.669762,4319448,442.669762
1441,ㅎㅇ (Feat. PENOMECO),191.40625,23309,587.8274277,4391160,587.8274277
1442,행복을 주는 사람,151.9990809,16749,418.3362894,5711616,418.3362894
1443,난 별,89.10290948,28557,665.8830661,5029632,665.8830661
